text,text_clean,rating,sentiment
"Order tanggal 19 pake JNE yes,  
Baru sampe tanggal 25 entah salahnya dimana",order tanggal pake jne yes baru sampe tanggal entah salahnya dimana,1,Negative
"Barang nya jelek bgt , saya mau kasih ke Org pun malu , mungkin ini foto lebih bagus dari produk asli nya
Saya tdk akan beli lagi",barang nya jelek bgt saya mau kasih ke org pun malu mungkin ini foto lebih bagus dari produk asli nya saya tdk akan beli lagi,1,Negative
Gx sesuai dgn gambar. Gambar comot di google,gx sesuai dgn gambar gambar comot di google,2,Negative
"awalnya lupa tulisan ukuran, dan penjual juga ga nanya,, akhirnya  ukuran yg dikirim  ukuran  40,, minta retur ke 42 ,, penjual cuman bilang iya doang,, ga ada action,, udah sebulan ga diproses,, yang parahnya tokpedia malah melanjutkan dana ke penjual. padahal sudah mengikuti proses komplian sesuai petunjuk tokped. Benar&#39;&#39; tidak menghargai customer.",awalnya lupa tulisan ukuran dan penjual juga ga nanya akhirnya ukuran yg dikirim ukuran minta retur ke penjual cuman bilang iya doang ga ada action udah sebulan ga diproses yang parahnya tokpedia malah melanjutkan dana ke penjual padahal sudah mengikuti proses komplian sesuai petunjuk tokped benar tidak menghargai customer,1,Negative
"Pesen  warna A yg d kirim warna B...nga ssuai klw dlam pesenan
 Abis gtu ukuranya kcill😢",pesen warna a yg d kirim warna b nga ssuai klw dlam pesenan abis gtu ukuranya kcill,1,Negative
"Respon sih cepat satu hari langsung,tapi pengiriman nya agak lama hampir 4 hari tapi baranh sesuai dengan harga.Seller kadang ga jawab pertanyaan.Tolong tingkatkan lagi.TAPI barang bagus lah sesuai harga meskipun ada yang terkelupas sedikit.☺",respon sih cepat satu hari langsung tapi pengiriman nya agak lama hampir hari tapi baranh sesuai dengan harga seller kadang ga jawab pertanyaan tolong tingkatkan lagi tapi barang bagus lah sesuai harga meskipun ada yang terkelupas sedikit,2,Negative
"Sangat mengecwakan, pesan 2 sepatu yg dikirim hanya 1 sepatu, di wa dan dintelfon tidak permah mau bls dangkat,
udah gitu kualitas sepatu jelek, dijamin bakal kecewa beli disini",sangat mengecwakan pesan sepatu yg dikirim hanya sepatu di wa dan dintelfon tidak permah mau bls dangkat udah gitu kualitas sepatu jelek dijamin bakal kecewa beli disini,1,Negative
barang sudah diterima kualitas kurang memuaskan,barang sudah diterima kualitas kurang memuaskan,1,Negative
tidak puas.........................,tidak puas,1,Negative
"produk, tidak sesuai dengan gambar.",produk tidak sesuai dengan gambar,2,Negative
terima kasih aja. proses lama,terima kasih aja proses lama,2,Negative
Pesan 3..patah 2 .. packing kurang aman,pesan patah packing kurang aman,2,Negative
"Seller ok. Packing rapi dan pengiriman cepat. Ga ada masalah. Cuman produknya kurang sesuai ekspektasi, dindingnya kurang kokoh terlalu lentur, pemasangan kurang simple. Thanks btw",seller ok packing rapi dan pengiriman cepat ga ada masalah cuman produknya kurang sesuai ekspektasi dindingnya kurang kokoh terlalu lentur pemasangan kurang simple thanks btw,2,Negative
trimstrimstrimstrimstrimstrimstrimstrimstrims,trimstrimstrimstrimstrimstrimstrimstrimstrims,1,Negative
"Mengecewakan, intinya aku sangat kecewa 😒",mengecewakan intinya aku sangat kecewa,1,Negative
"Ukurannya kekecilan, next buat yang lain, lebihin 1 ukuran dari sepatu yang biasa kalian pakai.",ukurannya kekecilan next buat yang lain lebihin ukuran dari sepatu yang biasa kalian pakai,2,Negative
biarkan bintang yang berbicara,biarkan bintang yang berbicara,1,Negative
"saya, kecewa dengan sistem pengerjaan untuk di kirim ke jasa pengiriman nya. menyediakan jasa YES (yakin esok sampai) tapi disamakan dengan pengiriman reguler. bukan salah kurir ini salah seller yg tidak segera mungkin menindak yg harusnya di prioritaskan barang yg harusnya satu hari sampai , menjadi 2 hari. entah di sengaja apa tidak ini sistem yang buruk menurut saya. selamat 28rb jasa YES nya bisa anda claim karna mereka tidak berhasil kirim 1 hari paket nya, lumayan buat tambah2 omset itu.. jika memang di sengaja selamat anda berhasil, dan membuat kekacauan yg cukup menyedihkan buat saya. tp jika tidak ya semoga kedepan lebih baik lagi. maaf ini pengalaman terburuk saya",saya kecewa dengan sistem pengerjaan untuk di kirim ke jasa pengiriman nya menyediakan jasa yes yakin esok sampai tapi disamakan dengan pengiriman reguler bukan salah kurir ini salah seller yg tidak segera mungkin menindak yg harusnya di prioritaskan barang yg harusnya satu hari sampai menjadi hari entah di sengaja apa tidak ini sistem yang buruk menurut saya selamat rb jasa yes nya bisa anda claim karna mereka tidak berhasil kirim hari paket nya lumayan buat tambah omset itu jika memang di sengaja selamat anda berhasil dan membuat kekacauan yg cukup menyedihkan buat saya tp jika tidak ya semoga kedepan lebih baik lagi maaf ini pengalaman terburuk saya,1,Negative
"Barang Standar,sesuai dngan harga nya",barang standar sesuai dngan harga nya,2,Negative
ternyata hanya sablon aj dilogo,ternyata hanya sablon aj dilogo,2,Negative
bahan tipis sekali.....semoga kuat sj...,bahan tipis sekali semoga kuat sj,2,Negative
"Barang dikirim sangat cepat. Komunikasi yang baik. Barang tidak tahan lama, lebih baik pakai di dalam.",barang dikirim sangat cepat komunikasi yang baik barang tidak tahan lama lebih baik pakai di dalam,2,Negative
Terlalu lama mulai tanggal 14 baru sampainya tanggal 30 hampir setengah bulan,terlalu lama mulai tanggal baru sampainya tanggal hampir setengah bulan,1,Negative
"tidak puas, saya dirugikan, kualitas barang saya terima sangat buruk",tidak puas saya dirugikan kualitas barang saya terima sangat buruk,1,Negative
"ukuran yg dikirim tidak sesuai, malah ukuran yg diminta seperti ditulis ulang",ukuran yg dikirim tidak sesuai malah ukuran yg diminta seperti ditulis ulang,1,Negative
model pesanan sesuai tapi kualitas barang yg ditampilkan dgn barang yg diterima jauh sekali (kasar sekali),model pesanan sesuai tapi kualitas barang yg ditampilkan dgn barang yg diterima jauh sekali kasar sekali,1,Negative
Kurang bagus karena gak kena klipnya jadi gak kencang,kurang bagus karena gak kena klipnya jadi gak kencang,1,Negative
Sepertinya salah kirim !! Saya pesan size pria di chat 34 c 13 c 22. Ga cukup buat sneaker!! . Saya mau dikembalikan ini gimanaaa. Ongkornya mahal lo iniiii!,sepertinya salah kirim saya pesan size pria di chat c c ga cukup buat sneaker saya mau dikembalikan ini gimanaaa ongkornya mahal lo iniiii,2,Negative
"Tali sepatunya belang, saya tidak suka dan tidak sesuai pesanan nmr.42 dikirim nmr.40",tali sepatunya belang saya tidak suka dan tidak sesuai pesanan nmr dikirim nmr,2,Negative
"Barang si oke saya pesan navy size 42 yg dikirim hitam Size 41 , dan packing nya tidak rapih ,,,",barang si oke saya pesan navy size yg dikirim hitam size dan packing nya tidak rapih,1,Negative
"Barang sudah diterima ,hanya saja kecewa dengan pengirimannya yg lama",barang sudah diterima hanya saja kecewa dengan pengirimannya yg lama,2,Negative
Ngak ada talinya warna juga kurang sesuai,ngak ada talinya warna juga kurang sesuai,2,Negative
Lem nya kurang rapih dan enteng banget,lem nya kurang rapih dan enteng banget,2,Negative
"😥😥 not good quality, not even close.",not good quality not even close,2,Negative
"speaker tidak jelas, jadi belum bisa dipakai",speaker tidak jelas jadi belum bisa dipakai,2,Negative
"Paketannya sdh sampai, kecewa ! Pantesan aja murah bkn samsung asli",paketannya sdh sampai kecewa pantesan aja murah bkn samsung asli,2,Negative
"Beli 2 biji, 2-2 patah di tmpt yg sama di bagian pertemuan per dgn suction.",beli biji patah di tmpt yg sama di bagian pertemuan per dgn suction,1,Negative
"barang sesuai deskripsi tetapi tidak bs menempel pd interior mobil yg bergelombang, kualitas plastik jg meragukan...",barang sesuai deskripsi tetapi tidak bs menempel pd interior mobil yg bergelombang kualitas plastik jg meragukan,2,Negative
Saya pikir bahannya bagus.. tp ya sudahlah.. wong harganya juga ga mahal... klu kawan2 punya selera yg lebih sy sarankan utk berfikir kembali mengambil produk ini krn memang pas2an...maklum ada harga ada kualitas...,saya pikir bahannya bagus tp ya sudahlah wong harganya juga ga mahal klu kawan punya selera yg lebih sy sarankan utk berfikir kembali mengambil produk ini krn memang pas an maklum ada harga ada kualitas,2,Negative
"kualitas barang rendah tp ya sesuai harganya, juga Barang datang dengan kondisi kaca pecah.",kualitas barang rendah tp ya sesuai harganya juga barang datang dengan kondisi kaca pecah,1,Negative
Ball head nya tidak bisa mengunci sama sekali.,ball head nya tidak bisa mengunci sama sekali,2,Negative
Tidak memuaskan dan komplain lama respon.,tidak memuaskan dan komplain lama respon,1,Negative
Cek dlu bos. Gerigi penahan nya kok lepas trus..  Yg ada malah hp nya jatoh,cek dlu bos gerigi penahan nya kok lepas trus yg ada malah hp nya jatoh,1,Negative
Barang kasar banget dan tidak sesuqi dengan foto,barang kasar banget dan tidak sesuqi dengan foto,1,Negative
"Kagak pas di motor ninja 250 fi.. 
Sama kagak pas di polygon stratos..",kagak pas di motor ninja fi sama kagak pas di polygon stratos,2,Negative
"Kirim barang nya sdh rusak...
Dikomplain malah ga terima maki&amp;#34; dan menghina pembeli",kirim barang nya sdh rusak dikomplain malah ga terima maki amp dan menghina pembeli,1,Negative
Buat dewasa bukan anak kegedean,buat dewasa bukan anak kegedean,2,Negative
Barang rusak dikirim,barang rusak dikirim,2,Negative
warna tdak sma dgn gambar....trima kasih,warna tdak sma dgn gambar trima kasih,1,Negative
"Pengaitnya gak kuat, gampang goyang jd gampang jatuh. Jd saya kasih lem korea buat perekatnya lg biar ga mudah jatuh",pengaitnya gak kuat gampang goyang jd gampang jatuh jd saya kasih lem korea buat perekatnya lg biar ga mudah jatuh,2,Negative
Penjual tidak responsif. Item dalam box tidak lengkap. Tidak bisa di gunakan. Not recommended seller.,penjual tidak responsif item dalam box tidak lengkap tidak bisa di gunakan not recommended seller,1,Negative
Pengirimannya terlalu lama.... No rekomen deh,pengirimannya terlalu lama no rekomen deh,1,Negative
tidak sesuai gambar..,tidak sesuai gambar,2,Negative
hp rusak ga bs dipake sama sekali.,hp rusak ga bs dipake sama sekali,1,Negative
Bintang yang menilai semua............,bintang yang menilai semua,1,Negative
Batteray hp tidak original dan batteray cepat habis atau cepat lowbet,batteray hp tidak original dan batteray cepat habis atau cepat lowbet,1,Negative
"Agak kecewa sama barang yg diorder, ditanya warna merah katanya ready tapi yg dikirim warna hitam",agak kecewa sama barang yg diorder ditanya warna merah katanya ready tapi yg dikirim warna hitam,2,Negative
"Baterai baru sehari udh bau gosong ,,untung ga meledak ,,",baterai baru sehari udh bau gosong untung ga meledak,1,Negative
"Produk buruk. Tidak bisa dipake, buang tempat sampah. Casing terbuka dan sim tidak bisa terbaca. Mending beli produk 2nd dari produk ini...",produk buruk tidak bisa dipake buang tempat sampah casing terbuka dan sim tidak bisa terbaca mending beli produk nd dari produk ini,1,Negative
cashing gak nempel batre drop.. apesss,cashing gak nempel batre drop apesss,2,Negative
Tombol atas nya ga berfungsi,tombol atas nya ga berfungsi,1,Negative
"Barang kawe kawe ya. Barang kurang berfungsi, ga bisa baca memori, gak bisa bluethoot. Tadinya sy pikir asli. Ternyata bukan.",barang kawe kawe ya barang kurang berfungsi ga bisa baca memori gak bisa bluethoot tadinya sy pikir asli ternyata bukan,2,Negative
Kualitasnya tidak sesuai dg merk nya,kualitasnya tidak sesuai dg merk nya,1,Negative
"Barang yg saya terima bukan original nokia, kecewa.",barang yg saya terima bukan original nokia kecewa,2,Negative
"Barang rusak semua, hp china bener2 payah,  sesuai harga kualitas jelek,  maklum lah,  harga beda 2x lipat dgn yg asli.",barang rusak semua hp china bener payah sesuai harga kualitas jelek maklum lah harga beda x lipat dgn yg asli,1,Negative
Batt nya cepet abis...Bukan seperti Nokia Yg terdahulu...😭,batt nya cepet abis bukan seperti nokia yg terdahulu,2,Negative
Barang udah sampe kmaren,barang udah sampe kmaren,2,Negative
"Beli 2 dan 1 nya gak bisa digunain, alias rusak...",beli dan nya gak bisa digunain alias rusak,1,Negative
"Tulisan &#34;SUPERCOPY&#34; atau REPLIKA sebaiknya ditulis lebih jelas lagi, ditambahkan di nama produk, kecuali jika memang mengincar juga pembeli yg kurang cermat seperti saya :p",tulisan supercopy atau replika sebaiknya ditulis lebih jelas lagi ditambahkan di nama produk kecuali jika memang mengincar juga pembeli yg kurang cermat seperti saya p,2,Negative
Suara nya jelek bgd..nerima maupun telp..baterainya jg..gak d pake sehari habis..keypad nya jg susah,suara nya jelek bgd nerima maupun telp baterainya jg gak d pake sehari habis keypad nya jg susah,1,Negative
Casannya gak bs ngisi dan batre nya cpt habis,casannya gak bs ngisi dan batre nya cpt habis,2,Negative
"Sangat kecewa,.......
..........",sangat kecewa,1,Negative
brng tdk sesui.pesan warna biru dkirm warna merah,brng tdk sesui pesan warna biru dkirm warna merah,2,Negative
"Barang sesuai deskripsi. Dari sisi fungsional, kualitas barang kurang baik mungkin krn ini harganya murah. Lampu keypad hanya menyala sebagian, batre longgar sehingga harus diganjal (sy pakai kertas) agar dapat berfungsi, batre hanya tahan 1 hari (pagi - malam), kualitas suara kurang baik.
Klo layanan dari toko cukup baik.",barang sesuai deskripsi dari sisi fungsional kualitas barang kurang baik mungkin krn ini harganya murah lampu keypad hanya menyala sebagian batre longgar sehingga harus diganjal sy pakai kertas agar dapat berfungsi batre hanya tahan hari pagi malam kualitas suara kurang baik klo layanan dari toko cukup baik,2,Negative
Pengiriman cepat hanya hpx tdk bisa putar musik n tobol2x kurang bgs,pengiriman cepat hanya hpx tdk bisa putar musik n tobol x kurang bgs,1,Negative
hp mati tidak bisa digunakan,hp mati tidak bisa digunakan,1,Negative
Barang ga bisa berfungsi dg baik.,barang ga bisa berfungsi dg baik,1,Negative
"Produk mengecewakan, kualitas barang jelek",produk mengecewakan kualitas barang jelek,1,Negative
Batre hp cepat habis alias boros,batre hp cepat habis alias boros,2,Negative
"Beli 3 produk, 2 biji baterai nya bocor, 1 biji kaga bisa di charge, mao kirim balik , ongkir dll susah",beli produk biji baterai nya bocor biji kaga bisa di charge mao kirim balik ongkir dll susah,1,Negative
"Baterai ngedropan tiap 6jam abis padahal cuman stand by,pketan isinya cuman HP&amp;CAS gk ada dusbook....",baterai ngedropan tiap jam abis padahal cuman stand by pketan isinya cuman hp amp cas gk ada dusbook,1,Negative
"Barang yg dikirim warna tidak sesuai dengan pemesanan, sangat tidak berkualitas",barang yg dikirim warna tidak sesuai dengan pemesanan sangat tidak berkualitas,1,Negative
Batere nya cpt habis..😭,batere nya cpt habis,2,Negative
Beli 5 unit hp disini ga ada yg satupun yg bgus.. penjual bohong..  minta solusi.,beli unit hp disini ga ada yg satupun yg bgus penjual bohong minta solusi,1,Negative
"Hp yg datang klo telfon ga ada suaranya,kecewa sekali",hp yg datang klo telfon ga ada suaranya kecewa sekali,1,Negative
Produknya kw mudah rusak,produknya kw mudah rusak,1,Negative
Pengiriman nya lama sekali,pengiriman nya lama sekali,2,Negative
Barang banyak cacatnya dikomplain lambat nunggu abis garansinya pokoknya ga usah dibeli,barang banyak cacatnya dikomplain lambat nunggu abis garansinya pokoknya ga usah dibeli,1,Negative
"Barang sampah bukan nokia ini, kalo jualan yg bener km... hpnya suka suka mati2 sendiri...",barang sampah bukan nokia ini kalo jualan yg bener km hpnya suka suka mati sendiri,1,Negative
"Di deskripsi nya di tambahin &#34;barang replika&#34; biar gak kecewa pembeli nya.
Tombol pada jemblos.
Kecewa saya",di deskripsi nya di tambahin barang replika biar gak kecewa pembeli nya tombol pada jemblos kecewa saya,1,Negative
Cuma bertahan 3hari charger nya,cuma bertahan hari charger nya,2,Negative
paket dibungkus dng rapih..dan bgs..smoga unit nya sebagus dng packaging nya.,paket dibungkus dng rapih dan bgs smoga unit nya sebagus dng packaging nya,2,Negative
"Baru 3 hari mati, mau retur gak direspon..
Bukan nokia.",baru hari mati mau retur gak direspon bukan nokia,1,Negative
Tidak ada sinyal nya udah nyoba pake kartu apa pun.,tidak ada sinyal nya udah nyoba pake kartu apa pun,2,Negative
"Pesen nya warna biru tapi di kirim warna hitam,untung cuma hp murah",pesen nya warna biru tapi di kirim warna hitam untung cuma hp murah,1,Negative
Karuan beli produk china aja...barange parah enteng kya krupuk suara speaker parah.layar kya mainan bocah,karuan beli produk china aja barange parah enteng kya krupuk suara speaker parah layar kya mainan bocah,1,Negative
"Tidak sesuai dengan apa yg di terangkan
Mirip kayak hp china",tidak sesuai dengan apa yg di terangkan mirip kayak hp china,1,Negative
Terima kasih banyak ooo tapi barang gak ori,terima kasih banyak ooo tapi barang gak ori,1,Negative
"kacanya retak,  kaya hp second",kacanya retak kaya hp second,1,Negative
"Hp tidak bisa mengeluarkan suara dering, baterai drop.. jelekkk skali.. charger meledak",hp tidak bisa mengeluarkan suara dering baterai drop jelekkk skali charger meledak,1,Negative
"Gak bisa utk nelpon, cuma bisa cek pulsa doang.. Mau minta tukar",gak bisa utk nelpon cuma bisa cek pulsa doang mau minta tukar,2,Negative
Hp mati saat penggunaan pertama...dan gak mau nyala lagi,hp mati saat penggunaan pertama dan gak mau nyala lagi,2,Negative
Gan knp setelah d pasang kartu hp gg nyala malah kedap kedip mulu,gan knp setelah d pasang kartu hp gg nyala malah kedap kedip mulu,1,Negative
"Jual barang KW, di keterangan ga di kasih keterangan barang KW.. Tau gitu ga jadi transfer deh.. Not recomended 👎",jual barang kw di keterangan ga di kasih keterangan barang kw tau gitu ga jadi transfer deh not recomended,1,Negative
"Bluetooth ga bisa ketemu sama hp lain, ga bisa nemuin bluetooth hp lain. Menu musik ga bisa baca lagu yg ada di memori walau udh di refresh.",bluetooth ga bisa ketemu sama hp lain ga bisa nemuin bluetooth hp lain menu musik ga bisa baca lagu yg ada di memori walau udh di refresh,1,Negative
"Batre belum d pakai sudah abis alias dropp belom di pake, padahal abis di carger. Belum sejam udah abis",batre belum d pakai sudah abis alias dropp belom di pake padahal abis di carger belum sejam udah abis,2,Negative
Lumayan bagus walaupun masih agak telat pngiriman,lumayan bagus walaupun masih agak telat pngiriman,2,Negative
"Batre gak awet, barang ringkih",batre gak awet barang ringkih,2,Negative
"pesan warna merah ,,, dikirim warna biru , sangat mengecewakan !!!",pesan warna merah dikirim warna biru sangat mengecewakan,1,Negative
"Hp ringkih gmpg rusak , antara hp Nokia atau replika",hp ringkih gmpg rusak antara hp nokia atau replika,1,Negative
Koj batre nya boros banget yak.  Ama sinyal gak muncul.,koj batre nya boros banget yak ama sinyal gak muncul,1,Negative
"Untuk mendengarkan radio. (earphone), tidak berfungsi. Sudah coba pakai handsfree 3 pcs, satu pun  tidak ada yg terdengar.  Saya mohon. Kedepan nya lebih teliti sebelum mengirim barangnya. Trims",untuk mendengarkan radio earphone tidak berfungsi sudah coba pakai handsfree pcs satu pun tidak ada yg terdengar saya mohon kedepan nya lebih teliti sebelum mengirim barangnya trims,2,Negative
"Apa hanya saya saja ya yang merasa kalau hape ini terasa sangat ringkih,padahal setahu saya hape nokia iti build qualitynya sangat bagus,,,,,agak kecewa sih,tp semoga barangnya awet",apa hanya saya saja ya yang merasa kalau hape ini terasa sangat ringkih padahal setahu saya hape nokia iti build qualitynya sangat bagus agak kecewa sih tp semoga barangnya awet,2,Negative
"ringan kaya hp ringan
spiker telpon rusakkkk",ringan kaya hp ringan spiker telpon rusakkkk,2,Negative
"Batere drop, susah di charge krn mgkn bermasalah",batere drop susah di charge krn mgkn bermasalah,2,Negative
Hp nya gampang mati sendiri &amp; saya tanya ternyata rekondisi. Cuma ganti kesing. Barangnya bukan ORI Nokia charger maupun baterainya😔 semoga sukses jualannya🙏,hp nya gampang mati sendiri amp saya tanya ternyata rekondisi cuma ganti kesing barangnya bukan ori nokia charger maupun baterainya semoga sukses jualannya,1,Negative
"baterai cepat habis, lampu keypad tidak nyala semua...",baterai cepat habis lampu keypad tidak nyala semua,1,Negative
Kelamaan pengiriman barang,kelamaan pengiriman barang,1,Negative
"Beda sama nokia 130 yg beli di counter hp, kwalitas beda jauh",beda sama nokia yg beli di counter hp kwalitas beda jauh,1,Negative
Hati2 chargeran tidak berfungsi sama sekali,hati chargeran tidak berfungsi sama sekali,1,Negative
Pengiriman sangat lama untuk daerah jakarta,pengiriman sangat lama untuk daerah jakarta,2,Negative
Kecewa berat. Lebih layak jadi HP mainan,kecewa berat lebih layak jadi hp mainan,1,Negative
"Hpnya ngerestart teruss,, Nokia cap apa ini?? Tdk sesuai dgn yg di harapkan",hpnya ngerestart teruss nokia cap apa ini tdk sesuai dgn yg di harapkan,1,Negative
"barang nyampe di packing rapih.
tpi kualitas sangat kurang, saat telpn kecil suaranya kecil, padahal volume udah maksimal, di pasang headset juga suka mati jika di sentuh. produk masih blm bisa di recommend",barang nyampe di packing rapih tpi kualitas sangat kurang saat telpn kecil suaranya kecil padahal volume udah maksimal di pasang headset juga suka mati jika di sentuh produk masih blm bisa di recommend,1,Negative
Bos knp jaringannya ga conect ketika sudah masuk sim card?? Gmn solusinya?,bos knp jaringannya ga conect ketika sudah masuk sim card gmn solusinya,2,Negative
